,Spot,Um,Cm
456,USDSPAX,,
457,USDSTUSD,,
458,USDSUSDC,,
459,BTTPAX,,
460,BTTTUSD,,
461,BTTUSDC,,
462,ONGBNB,,
463,ONGBTC,,
464,ONGUSDT,,
465,HOTBNB,,
466,HOTUSDT,,
467,ZILUSDT,,
468,ZRXBNB,,
469,ZRXUSDT,,
470,FETBNB,,
471,FETBTC,,
472,FETUSDT,,
473,BATUSDT,,
474,XMRBNB,,
475,XMRUSDT,,
476,ZECBNB,,
477,ZECUSDT,,
478,ZECPAX,,
479,ZECTUSD,,
480,ZECUSDC,,
481,IOSTUSDT,,
482,CELRBNB,,
483,CELRBTC,,
484,CELRUSDT,,
485,ADAPAX,,
486,ADAUSDC,,
487,NEOPAX,,
488,NEOUSDC,,
489,DASHBNB,,
490,DASHUSDT,,
491,NANOUSDT,,
492,OMGBNB,,
493,OMGUSDT,,
494,THETAUSDT,,
495,ENJUSDT,,
496,MITHUSDT,,
497,MATICBNB,,
498,MATICBTC,,
499,MATICUSDT,,
500,ATOMBNB,,
501,ATOMBTC,,
502,ATOMUSDT,,
503,ATOMUSDC,,
504,ATOMPAX,,
505,ATOMTUSD,,
506,ETCUSDC,,
507,ETCPAX,,
508,ETCTUSD,,
509,BATUSDC,,
510,BATPAX,,
511,BATTUSD,,
512,PHBBNB,,
513,PHBBTC,,
514,PHBUSDC,,
515,PHBTUSD,,
516,PHBPAX,,
517,TFUELBNB,,
518,TFUELBTC,,
519,TFUELUSDT,,
520,TFUELUSDC,,
521,TFUELTUSD,,
522,TFUELPAX,,
523,ONEBNB,,
524,ONEBTC,,
525,ONEUSDT,,
526,ONETUSD,,
527,ONEPAX,,
528,ONEUSDC,,
529,FTMBNB,,
530,FTMBTC,,
531,FTMUSDT,,
532,FTMTUSD,,
533,FTMPAX,,
534,FTMUSDC,,
535,BTCBBTC,,
536,BCPTTUSD,,
537,BCPTPAX,,
538,BCPTUSDC,,
539,ALGOBNB,,
540,ALGOBTC,,
541,ALGOUSDT,,
542,ALGOTUSD,,
543,ALGOPAX,,
544,ALGOUSDC,,
545,USDSBUSDT,,
546,USDSBUSDS,,
547,GTOUSDT,,
548,GTOPAX,,
549,GTOTUSD,,
550,GTOUSDC,,
551,ERDBNB,,
552,ERDBTC,,
553,ERDUSDT,,
554,ERDPAX,,
555,ERDUSDC,,
556,DOGEBNB,,
557,DOGEBTC,,
558,DOGEUSDT,,
559,DOGEPAX,,
560,DOGEUSDC,,
561,DUSKBNB,,
562,DUSKBTC,,
563,DUSKUSDT,,
564,DUSKUSDC,,
565,DUSKPAX,,
566,BGBPUSDC,,
567,ANKRBNB,,
568,ANKRBTC,,
569,ANKRUSDT,,
570,ANKRTUSD,,
571,ANKRPAX,,
572,ANKRUSDC,,
573,ONTPAX,,
574,ONTUSDC,,
575,WINBNB,,
576,WINBTC,,
577,WINUSDT,,
578,WINUSDC,,
579,COSBNB,,
580,COSBTC,,
581,COSUSDT,,
582,TUSDBTUSD,,
583,NPXSUSDT,,
584,NPXSUSDC,,
585,COCOSBNB,,
586,COCOSBTC,,
587,COCOSUSDT,,
588,MTLUSDT,,
589,TOMOBNB,,
590,TOMOBTC,,
591,TOMOUSDT,,
592,TOMOUSDC,,
593,PERLBNB,,
594,PERLBTC,,
595,PERLUSDC,,
596,PERLUSDT,,
597,DENTUSDT,,
598,MFTUSDT,,
599,KEYUSDT,,
600,STORMUSDT,,
601,DOCKUSDT,,
602,WANUSDT,,
603,FUNUSDT,,
604,CVCUSDT,,
605,BTTTRX,,
606,WINTRX,,
607,CHZBNB,,
608,CHZBTC,,
609,CHZUSDT,,
610,BANDBNB,,
611,BANDBTC,,
612,BANDUSDT,,
613,BNBBUSD,,
614,BTCBUSD,,
615,BUSDUSDT,,
616,BEAMBNB,,
617,BEAMBTC,,
618,BEAMUSDT,,
619,XTZBNB,,
620,XTZBTC,,
621,XTZUSDT,,
622,RENUSDT,,
623,RVNUSDT,,
624,HCUSDT,,
625,HBARBNB,,
626,HBARBTC,,
627,HBARUSDT,,
628,NKNBNB,,
629,NKNBTC,,
630,NKNUSDT,,
631,XRPBUSD,,
632,ETHBUSD,,
633,BCHABCBUSD,,
634,LTCBUSD,,
635,LINKBUSD,,
636,ETCBUSD,,
637,STXBNB,,
638,STXBTC,,
639,STXUSDT,,
640,KAVABNB,,
641,KAVABTC,,
642,KAVAUSDT,,
643,BUSDNGN,,
644,BNBNGN,,
645,BTCNGN,,
646,ARPABNB,,
647,ARPABTC,,
648,ARPAUSDT,,
649,TRXBUSD,,
650,EOSBUSD,,
651,IOTXUSDT,,
652,RLCUSDT,,
653,MCOUSDT,,
654,XLMBUSD,,
655,ADABUSD,,
656,CTXCBNB,,
657,CTXCBTC,,
658,CTXCUSDT,,
659,BCHBNB,,
660,BCHBTC,,
661,BCHUSDT,,
662,BCHUSDC,,
663,BCHTUSD,,
664,BCHPAX,,
665,BCHBUSD,,
666,BTCRUB,,
667,ETHRUB,,
668,XRPRUB,,
669,BNBRUB,,
670,TROYBNB,,
671,TROYBTC,,
672,TROYUSDT,,
673,BUSDRUB,,
674,QTUMBUSD,,
675,VETBUSD,,
676,VITEBNB,,
677,VITEBTC,,
678,VITEUSDT,,
679,FTTBNB,,
680,FTTBTC,,
681,FTTUSDT,,
682,BTCTRY,,
683,BNBTRY,,
684,BUSDTRY,,
685,ETHTRY,,
686,XRPTRY,,
687,USDTTRY,,
688,USDTRUB,,
689,BTCEUR,,
690,ETHEUR,,
691,BNBEUR,,
692,XRPEUR,,
693,EURBUSD,,
694,EURUSDT,,
695,OGNBNB,,
696,OGNBTC,,
697,OGNUSDT,,
698,DREPBNB,,
699,DREPBTC,,
700,DREPUSDT,,
701,BULLUSDT,,
702,BULLBUSD,,
703,BEARUSDT,,
704,BEARBUSD,,
705,ETHBULLUSDT,,
706,ETHBULLBUSD,,
707,ETHBEARUSDT,,
708,ETHBEARBUSD,,
709,TCTBNB,,
710,TCTBTC,,
711,TCTUSDT,,
712,WRXBNB,,
713,WRXBTC,,
714,WRXUSDT,,
715,ICXBUSD,,
716,BTSUSDT,,
717,BTSBUSD,,
718,LSKUSDT,,
719,BNTUSDT,,
720,BNTBUSD,,
721,LTOBNB,,
722,LTOBTC,,
723,LTOUSDT,,
724,ATOMBUSD,,
725,DASHBUSD,,
726,NEOBUSD,,
727,WAVESBUSD,,
728,XTZBUSD,,
729,EOSBULLUSDT,,
730,EOSBULLBUSD,,
731,EOSBEARUSDT,,
732,EOSBEARBUSD,,
733,XRPBULLUSDT,,
734,XRPBULLBUSD,,
735,XRPBEARUSDT,,
736,XRPBEARBUSD,,
737,BATBUSD,,
738,ENJBUSD,,
739,NANOBUSD,,
740,ONTBUSD,,
741,RVNBUSD,,
742,STRATBUSD,,
743,STRATBNB,,
744,STRATUSDT,,
745,AIONBUSD,,
746,AIONUSDT,,
747,MBLBNB,,
748,MBLBTC,,
749,MBLUSDT,,
750,COTIBNB,,
751,COTIBTC,,
752,COTIUSDT,,
753,ALGOBUSD,,
754,BTTBUSD,,
755,TOMOBUSD,,
756,XMRBUSD,,
757,ZECBUSD,,
758,BNBBULLUSDT,,
759,BNBBULLBUSD,,
760,BNBBEARUSDT,,
761,BNBBEARBUSD,,
762,STPTBNB,,
763,STPTBTC,,
764,STPTUSDT,,
765,BTCZAR,,
766,ETHZAR,,
767,BNBZAR,,
768,USDTZAR,,
769,BUSDZAR,,
770,BTCBKRW,,
771,ETHBKRW,,
772,BNBBKRW,,
773,WTCUSDT,,
774,DATABUSD,,
775,DATAUSDT,,
776,XZCUSDT,,
777,SOLBNB,,
778,SOLBTC,,
779,SOLUSDT,,
780,SOLBUSD,,
781,BTCIDRT,,
782,BNBIDRT,,
783,USDTIDRT,,
784,BUSDIDRT,,
785,CTSIBTC,,
786,CTSIUSDT,,
787,CTSIBNB,,
788,CTSIBUSD,,
789,HIVEBNB,,
790,HIVEBTC,,
791,HIVEUSDT,,
792,CHRBNB,,
793,CHRBTC,,
794,CHRUSDT,,
795,BTCUPUSDT,,
796,BTCDOWNUSDT,,
797,GXSUSDT,,
798,ARDRUSDT,,
799,ERDBUSD,,
800,LENDUSDT,,
801,HBARBUSD,,
802,MATICBUSD,,
803,WRXBUSD,,
804,ZILBUSD,,
805,MDTBNB,,
806,MDTBTC,,
807,MDTUSDT,,
808,STMXBTC,,
809,STMXETH,,
810,STMXUSDT,,
811,KNCBUSD,,
812,KNCUSDT,,
813,REPBUSD,,
814,REPUSDT,,
815,LRCBUSD,,
816,LRCUSDT,,
817,IQBNB,,
818,IQBUSD,,
819,PNTBTC,,
820,PNTUSDT,,
821,BTCGBP,,
822,ETHGBP,,
823,XRPGBP,,
824,BNBGBP,,
825,GBPBUSD,,
826,DGBBTC,,
827,DGBBUSD,,
828,BTCUAH,,
829,USDTUAH,,
830,COMPBTC,,
831,COMPBNB,,
832,COMPBUSD,,
833,COMPUSDT,,
834,BTCBIDR,,
835,ETHBIDR,,
836,BNBBIDR,,
837,BUSDBIDR,,
838,USDTBIDR,,
839,BKRWUSDT,,
840,BKRWBUSD,,
841,SCUSDT,,
842,ZENUSDT,,
843,SXPBTC,,
844,SXPBNB,,
845,SXPBUSD,,
846,SNXBTC,,
847,SNXBNB,,
848,SNXBUSD,,
849,SNXUSDT,,
850,ETHUPUSDT,,
851,ETHDOWNUSDT,,
852,ADAUPUSDT,,
853,ADADOWNUSDT,,
854,LINKUPUSDT,,
855,LINKDOWNUSDT,,
856,VTHOBNB,,
857,VTHOBUSD,,
858,VTHOUSDT,,
859,DCRBUSD,,
860,DGBUSDT,,
861,GBPUSDT,,
862,STORJBUSD,,
863,SXPUSDT,,
864,IRISBNB,,
865,IRISBTC,,
866,IRISBUSD,,
867,MKRBNB,,
868,MKRBTC,,
869,MKRUSDT,,
870,MKRBUSD,,
871,DAIBNB,,
872,DAIBTC,,
873,DAIUSDT,,
874,DAIBUSD,,
875,RUNEBNB,,
876,RUNEBTC,,
877,RUNEBUSD,,
878,MANABUSD,,
879,DOGEBUSD,,
880,LENDBUSD,,
881,ZRXBUSD,,
882,DCRUSDT,,
883,STORJUSDT,,
884,XRPBKRW,,
885,ADABKRW,,
886,BTCAUD,,
887,ETHAUD,,
888,AUDBUSD,,
889,FIOBNB,,
890,FIOBTC,,
891,FIOBUSD,,
892,BNBUPUSDT,,
893,BNBDOWNUSDT,,
894,XTZUPUSDT,,
895,XTZDOWNUSDT,,
896,AVABNB,,
897,AVABTC,,
898,AVABUSD,,
899,USDTBKRW,,
900,BUSDBKRW,,
901,IOTABUSD,,
902,MANAUSDT,,
903,XRPAUD,,
904,BNBAUD,,
905,AUDUSDT,,
906,BALBNB,,
907,BALBTC,,
908,BALBUSD,,
909,YFIBNB,,
910,YFIBTC,,
911,YFIBUSD,,
912,YFIUSDT,,
913,BLZBUSD,,
914,KMDBUSD,,
915,BALUSDT,,
916,BLZUSDT,,
917,IRISUSDT,,
918,KMDUSDT,,
919,BTCDAI,,
920,ETHDAI,,
921,BNBDAI,,
922,USDTDAI,,
923,BUSDDAI,,
924,JSTBNB,,
925,JSTBTC,,
926,JSTBUSD,,
927,JSTUSDT,,
928,SRMBNB,,
929,SRMBTC,,
930,SRMBUSD,,
