,Spot,Um,Cm
2110,BTCPLN,,
2111,ETHPLN,,
2112,BUSDPLN,,
2113,APTEUR,,
2114,APTTRY,,
2115,APTBRL,,
2116,QKCBUSD,,
2117,OSMOBTC,,
2118,OSMOUSDT,,
2119,OSMOBUSD,,
2120,HFTBTC,,
2121,HFTBUSD,,
2122,HFTUSDT,,
2123,ARPAETH,,
2124,PHBUSDT,,
2125,VITEBUSD,,
2126,HOOKBTC,,
2127,HOOKUSDT,,
2128,HOOKBUSD,,
2129,HOOKBNB,,
2130,MAGICBTC,,
2131,MAGICBUSD,,
2132,MAGICUSDT,,
2133,BUSDRON,,
2134,HIFIETH,,
2135,HIFIUSDT,,
2136,RPLBTC,,
2137,RPLBUSD,,
2138,RPLUSDT,,
2139,PROSUSDT,,
2140,FETTRY,,
2141,GFTBUSD,,
2142,AGIXUSDT,,
2143,APTETH,,
2144,BTCRON,,
2145,GNSUSDT,,
2146,GNSBTC,,
2147,SYNBTC,,
2148,SYNUSDT,,
2149,VIBUSDT,,
2150,SSVUSDT,,
2151,LQTYUSDT,,
2152,LQTYBTC,,
2153,AMBUSDT,,
2154,BETHUSDT,,
2155,CFXTRY,,
2156,STXTRY,,
2157,USTCUSDT,,
2158,GASUSDT,,
2159,GLMUSDT,,
2160,PROMUSDT,,
2161,QKCUSDT,,
2162,UFTUSDT,,
2163,IDBTC,,
2164,IDBNB,,
2165,IDUSDT,,
2166,ARBBTC,,
2167,ARBUSDT,,
2168,AGIXTRY,,
2169,LOOMUSDT,,
2170,OAXUSDT,,
2171,ARBTUSD,,
2172,ARBTRY,,
2173,ARBEUR,,
2174,IDTUSD,,
2175,IDTRY,,
2176,IDEUR,,
2177,LDOTUSD,,
2178,MATICTUSD,,
2179,OPTUSD,,
2180,SOLTUSD,,
2181,SSVTUSD,,
2182,RDNTBTC,,
2183,RDNTUSDT,,
2184,RDNTTUSD,,
2185,ARBRUB,,
2186,JOETRY,,
2187,MAGICTRY,,
2188,USDTPLN,,
2189,ACHTRY,,
2190,XVSTRY,,
2191,EGLDRON,,
2192,USDTRON,,
2193,USDTARS,,
2194,DOGETUSD,,
2195,WBTCUSDT,,
2196,EDUUSDT,,
2197,EDUTUSD,,
2198,EDUBNB,,
2199,EDUBTC,,
2200,EDUEUR,,
2201,EDUTRY,,
2202,SUIUSDT,,
2203,SUITUSD,,
2204,SUIBTC,,
2205,SUIBNB,,
2206,SUIEUR,,
2207,SUITRY,,
2208,AERGOUSDT,,
2209,RNDRTRY,,
2210,PEPEUSDT,,
2211,PEPETUSD,,
2212,FLOKIUSDT,,
2213,FLOKITUSD,,
2214,OGTRY,,
2215,PEPETRY,,
2216,WBETHETH,,
2217,ASTUSDT,,
2218,SNTUSDT,,
2219,FLOKITRY,,
2220,CITYTRY,,
2221,COMBOUSDT,,
2222,COMBOBNB,,
2223,COMBOTRY,,
2224,LTCTRY,,
2225,RADTRY,,
2226,BTCARS,,
2227,OPTRY,,
2228,PAXGTRY,,
2229,MAVBTC,,
2230,MAVUSDT,,
2231,MAVTUSD,,
2232,CFXTUSD,,
2233,PENDLEBTC,,
2234,PENDLEUSDT,,
2235,PENDLETUSD,,
2236,MAVTRY,,
2237,OCEANTRY,,
2238,TUSDTRY,,
2239,ARBETH,,
2240,BCHTRY,,
2241,XVGTRY,,
2242,XVGTUSD,,
2243,ARKMUSDT,,
2244,ARKMTUSD,,
2245,ARKMTRY,,
2246,ARKMBNB,,
2247,ARKMBTC,,
2248,WBETHUSDT,,
2249,ACATRY,,
2250,AVAXTUSD,,
2251,COMPTUSD,,
2252,COMPTRY,,
2253,XECTRY,,
2254,QUICKTUSD,,
2255,WLDUSDT,,
2256,WLDBTC,,
2257,BNBFDUSD,,
2258,FDUSDBUSD,,
2259,FDUSDUSDT,,
2260,ARKMRUB,,
2261,WLDTRY,,
2262,WLDRUB,,
2263,AMPTRY,,
2264,OGNTRY,,
2265,BTCFDUSD,,
2266,ETHFDUSD,,
2267,ASRTRY,,
2268,ATMTRY,,
2269,ACMTRY,,
2270,BARTRY,,
2271,JUVTRY,,
2272,PSGTRY,,
2273,SEIBNB,,
2274,SEIBTC,,
2275,SEIFDUSD,,
2276,SEITRY,,
2277,SEIUSDT,,
2278,CYBERBNB,,
2279,CYBERBTC,,
2280,CYBERFDUSD,,
2281,CYBERTRY,,
2282,CYBERUSDT,,
